Industry,Industry Description,Year,Value Added (Billions Chained 2009)
331,"Primary metals",2007,39.4
332,"Fabricated metal products",2007,163.8
333,"Machinery",2007,144.8
334,"Computer and electronic products",2007,202.6
335,"Electrical equipment, appliances, and components",2007,56.5
3361MV,"Motor vehicles, bodies and trailers, and parts",2007,136.3
3364OT,"Other transportation equipment",2007,121.0
337,"Furniture and related products",2007,36.6
339,"Miscellaneous manufacturing",2007,73.9
33DG,"Durable goods",2007,1037.3
42,"Wholesale trade",2007,954.4
441,"Motor vehicle and parts dealers",2007,164.6
445,"Food and beverage stores",2007,138.7
44RT,"Retail trade",2007,904.1
452,"General merchandise stores",2007,123.7
481,"Air transportation",2007,74.6
482,"Rail transportation",2007,36.9
483,"Water transportation",2007,11.8
484,"Truck transportation",2007,129.6
485,"Transit and ground passenger transportation",2007,30.5
486,"Pipeline transportation",2007,15.4
487OS,"Other transportation and support activities",2007,93.5
48TW,"Transportation and warehousing",2007,434.4
493,"Warehousing and storage",2007,43.6
4A0,"Other retail",2007,477.5
51,"Information",2007,697.3
511,"Publishing industries, except internet (includes software)",2007,196.0
512,"Motion picture and sound recording industries",2007,74.8
513,"Broadcasting and telecommunications",2007,362.1
514,"Data processing, internet publishing, and other information services",2007,64.9
52,"Finance and insurance",2007,962.9
521CI,"Federal Reserve banks, credit intermediation, and related activities",2007,356.1
523,"Securities, commodity contracts, and investments",2007,196.8
524,"Insurance carriers and related activities",2007,395.8
525,"Funds, trusts, and other financial vehicles",2007,21.8
53,"Real estate and rental and leasing",2007,1898.2
531,"Real estate",2007,1720.4
532RL,"Rental and leasing services and lessors of intangible assets",2007,177.9
54,"Professional, scientific, and technical services",2007,990.8
5411,"Legal services",2007,226.2
5412OP,"Miscellaneous professional, scientific, and technical services",2007,597.9
5415,"Computer systems design and related services",2007,166.7
55,"Management of companies and enterprises",2007,271.3
56,"Administrative and waste management services",2007,439.3
561,"Administrative and support services",2007,401.8
562,"Waste management and remediation services",2007,37.5
6,"Educational services, health care, and social assistance",2007,1128.0
61,"Educational services",2007,149.7
62,"Health care and social assistance",2007,978.3
621,"Ambulatory health care services",2007,464.8
622,"Hospitals",2007,313.0
623,"Nursing and residential care facilities",2007,116.1
624,"Social assistance",2007,84.5
7,"Arts, entertainment, recreation, accommodation, and food services",2007,572.8
71,"Arts, entertainment, and recreation",2007,144.3
711AS,"Performing arts, spectator sports, museums, and related activities",2007,79.3
713,"Amusements, gambling, and recreation industries",2007,65.1
72,"Accommodation and food services",2007,428.7
721,"Accommodation",2007,124.6
722,"Food services and drinking places",2007,303.7
81,"Other services, except government",2007,360.9
FIRE,"Finance, insurance, real estate, rental, and leasing",2007,2866.6
G,"Government",2007,2017.7
GDP,"Gross domestic product",2007,14873.7
GF,"Federal",2007,627.8
GFE,"Government enterprises",2007,76.1
GFG,"General government",2007,553.1
GFGD,"National defense",2007,340.4
GFGN,"Nondefense",2007,212.8
GSL,"State and local",2007,1390.2
GSLE,"Government enterprises",2007,109.7
GSLG,"General government",2007,1281.8
HS,"Housing",2007,1414.5
ICT,"Information-communications-technology-producing industries [4]",2007,812.9
NABI,"Not allocated by industry [1]",2007,-85.4
ORE,"Other real estate",2007,304.5
PGOOD,"Private goods-producing industries [2]",2007,2983.5
PROF,"Professional and business services",2007,1701.2
PSERV,"Private services-producing industries [3]",2007,9883.7
PVT,"Private industries",2007,12873.1
11,"Agriculture, forestry, fishing, and hunting",2008,122.0
111CA,"Farms",2008,94.7
113FF,"Forestry, fishing, and related activities",2008,27.6
21,"Mining",2008,254.2
211,"Oil and gas extraction",2008,140.7
212,"Mining, except oil and gas",2008,68.7
213,"Support activities for mining",2008,53.0
22,"Utilities",2008,269.7
23,"Construction",2008,662.2
311FT,"Food and beverage and tobacco products",2008,225.3
313TT,"Textile mills and textile product mills",2008,19.1
315AL,"Apparel and leather and allied products",2008,11.7
31G,"Manufacturing",2008,1869.1
31ND,"Nondurable goods",2008,844.2
321,"Wood products",2008,24.6
322,"Paper products",2008,56.1
323,"Printing and related support activities",2008,45.5
324,"Petroleum and coal products",2008,118.6
325,"Chemical products",2008,305.0
326,"Plastics and rubber products",2008,61.9
327,"Nonmetallic mineral products",2008,46.9
331,"Primary metals",2008,40.5
332,"Fabricated metal products",2008,154.4
333,"Machinery",2008,145.0
334,"Computer and electronic products",2008,227.5
335,"Electrical equipment, appliances, and components",2008,60.2
3361MV,"Motor vehicles, bodies and trailers, and parts",2008,106.7
3364OT,"Other transportation equipment",2008,118.1
337,"Furniture and related products",2008,31.5
339,"Miscellaneous manufacturing",2008,78.0
33DG,"Durable goods",2008,1025.2
42,"Wholesale trade",2008,943.4
441,"Motor vehicle and parts dealers",2008,152.8
445,"Food and beverage stores",2008,134.3
44RT,"Retail trade",2008,866.4
452,"General merchandise stores",2008,122.2
481,"Air transportation",2008,67.4
482,"Rail transportation",2008,38.5
483,"Water transportation",2008,13.9
484,"Truck transportation",2008,123.3
485,"Transit and ground passenger transportation",2008,30.0
486,"Pipeline transportation",2008,19.5
487OS,"Other transportation and support activities",2008,96.2
48TW,"Transportation and warehousing",2008,433.9
493,"Warehousing and storage",2008,46.3
4A0,"Other retail",2008,457.5
51,"Information",2008,732.0
511,"Publishing industries, except internet (includes software)",2008,190.3
512,"Motion picture and sound recording industries",2008,83.4
513,"Broadcasting and telecommunications",2008,386.1
514,"Data processing, internet publishing, and other information services",2008,72.4
52,"Finance and insurance",2008,837.3
521CI,"Federal Reserve banks, credit intermediation, and related activities",2008,354.6
523,"Securities, commodity contracts, and investments",2008,109.6
524,"Insurance carriers and related activities",2008,348.5
525,"Funds, trusts, and other financial vehicles",2008,25.5
53,"Real estate and rental and leasing",2008,1930.6
531,"Real estate",2008,1745.3
532RL,"Rental and leasing services and lessors of intangible assets",2008,185.5
54,"Professional, scientific, and technical services",2008,1065.6
5411,"Legal services",2008,242.4
5412OP,"Miscellaneous professional, scientific, and technical services",2008,646.7
5415,"Computer systems design and related services",2008,176.6
55,"Management of companies and enterprises",2008,270.0
56,"Administrative and waste management services",2008,442.4
561,"Administrative and support services",2008,405.3
562,"Waste management and remediation services",2008,37.1
6,"Educational services, health care, and social assistance",2008,1187.8
61,"Educational services",2008,155.6
62,"Health care and social assistance",2008,1032.2
621,"Ambulatory health care services",2008,492.1
622,"Hospitals",2008,331.5
623,"Nursing and residential care facilities",2008,120.1
624,"Social assistance",2008,88.6
7,"Arts, entertainment, recreation, accommodation, and food services",2008,558.7
71,"Arts, entertainment, and recreation",2008,143.7
711AS,"Performing arts, spectator sports, museums, and related activities",2008,80.2
713,"Amusements, gambling, and recreation industries",2008,63.7
72,"Accommodation and food services",2008,415.0
721,"Accommodation",2008,120.3
722,"Food services and drinking places",2008,294.4
81,"Other services, except government",2008,347.4
FIRE,"Finance, insurance, real estate, rental, and leasing",2008,2762.9
G,"Government",2008,2054.6
GDP,"Gross domestic product",2008,14830.4
GF,"Federal",2008,644.7
GFE,"Government enterprises",2008,71.4
GFG,"General government",2008,574.1
GFGD,"National defense",2008,354.0
GFGN,"Nondefense",2008,220.2
GSL,"State and local",2008,1409.9
