Industry,Industry Description,Year,GDP (Billions Chained 2009)
HS,"Housing",2006,1546.9
ICT,"Information-communications-technology-producing industries [4]",2006,1315.9
II,"All industries",2006,26228.6
NABI,"Not allocated by industry [1]",2006,-25.3
ORE,"Other real estate",2006,891.1
PGOOD,"Private goods-producing industries [2]",2006,7403.7
PROF,"Professional and business services",2006,2593.6
PSERV,"Private services-producing industries [3]",2006,15749.8
PVT,"Private industries",2006,23181.3
11,"Agriculture, forestry, fishing, and hunting",2007,336.6
111CA,"Farms",2007,292.1
113FF,"Forestry, fishing, and related activities",2007,44.7
21,"Mining",2007,392.9
211,"Oil and gas extraction",2007,210.6
212,"Mining, except oil and gas",2007,120.2
213,"Support activities for mining",2007,71.4
22,"Utilities",2007,442.2
23,"Construction",2007,1358.9
311FT,"Food and beverage and tobacco products",2007,768.2
313TT,"Textile mills and textile product mills",2007,65.7
315AL,"Apparel and leather and allied products",2007,27.0
31G,"Manufacturing",2007,5394.9
31ND,"Nondurable goods",2007,2637.3
321,"Wood products",2007,95.8
322,"Paper products",2007,185.9
323,"Printing and related support activities",2007,105.3
324,"Petroleum and coal products",2007,503.1
325,"Chemical products",2007,772.5
326,"Plastics and rubber products",2007,218.0
327,"Nonmetallic mineral products",2007,131.7
331,"Primary metals",2007,222.4
332,"Fabricated metal products",2007,367.1
333,"Machinery",2007,367.7
334,"Computer and electronic products",2007,404.5
335,"Electrical equipment, appliances, and components",2007,133.2
3361MV,"Motor vehicles, bodies and trailers, and parts",2007,530.9
3364OT,"Other transportation equipment",2007,272.8
337,"Furniture and related products",2007,87.9
339,"Miscellaneous manufacturing",2007,157.4
33DG,"Durable goods",2007,2769.2
42,"Wholesale trade",2007,1374.7
441,"Motor vehicle and parts dealers",2007,213.7
445,"Food and beverage stores",2007,202.3
44RT,"Retail trade",2007,1357.4
452,"General merchandise stores",2007,195.3
481,"Air transportation",2007,157.9
482,"Rail transportation",2007,65.6
483,"Water transportation",2007,45.2
484,"Truck transportation",2007,288.1
485,"Transit and ground passenger transportation",2007,49.0
486,"Pipeline transportation",2007,27.1
487OS,"Other transportation and support activities",2007,183.0
48TW,"Transportation and warehousing",2007,887.9
493,"Warehousing and storage",2007,72.2
4A0,"Other retail",2007,746.4
51,"Information",2007,1213.4
511,"Publishing industries, except internet (includes software)",2007,311.6
512,"Motion picture and sound recording industries",2007,138.3
513,"Broadcasting and telecommunications",2007,642.5
514,"Data processing, internet publishing, and other information services",2007,121.3
52,"Finance and insurance",2007,1988.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2007,669.9
523,"Securities, commodity contracts, and investments",2007,499.4
524,"Insurance carriers and related activities",2007,713.5
525,"Funds, trusts, and other financial vehicles",2007,108.4
53,"Real estate and rental and leasing",2007,2709.4
531,"Real estate",2007,2429.2
532RL,"Rental and leasing services and lessors of intangible assets",2007,280.0
54,"Professional, scientific, and technical services",2007,1580.0
5411,"Legal services",2007,301.4
5412OP,"Miscellaneous professional, scientific, and technical services",2007,1028.5
5415,"Computer systems design and related services",2007,250.7
55,"Management of companies and enterprises",2007,446.0
56,"Administrative and waste management services",2007,680.7
561,"Administrative and support services",2007,601.2
562,"Waste management and remediation services",2007,79.6
6,"Educational services, health care, and social assistance",2007,1861.7
61,"Educational services",2007,240.1
62,"Health care and social assistance",2007,1621.5
621,"Ambulatory health care services",2007,742.4
622,"Hospitals",2007,557.6
623,"Nursing and residential care facilities",2007,182.0
624,"Social assistance",2007,139.4
7,"Arts, entertainment, recreation, accommodation, and food services",2007,1004.9
71,"Arts, entertainment, and recreation",2007,248.6
711AS,"Performing arts, spectator sports, museums, and related activities",2007,132.6
713,"Amusements, gambling, and recreation industries",2007,116.0
72,"Accommodation and food services",2007,756.4
721,"Accommodation",2007,199.5
722,"Food services and drinking places",2007,556.7
81,"Other services, except government",2007,567.1
FIRE,"Finance, insurance, real estate, rental, and leasing",2007,4699.4
G,"Government",2007,3079.4
GF,"Federal",2007,967.3
GFE,"Government enterprises",2007,104.7
GFG,"General government",2007,863.4
GFGD,"National defense",2007,562.1
GFGN,"Nondefense",2007,301.2
GSL,"State and local",2007,2112.3
GSLE,"Government enterprises",2007,234.9
GSLG,"General government",2007,1877.3
HS,"Housing",2007,1554.9
ICT,"Information-communications-technology-producing industries [4]",2007,1412.9
II,"All industries",2007,26689.7
NABI,"Not allocated by industry [1]",2007,-19.9
ORE,"Other real estate",2007,870.9
PGOOD,"Private goods-producing industries [2]",2007,7459.5
PROF,"Professional and business services",2007,2706.7
PSERV,"Private services-producing industries [3]",2007,16117.5
PVT,"Private industries",2007,23603.4
11,"Agriculture, forestry, fishing, and hunting",2008,332.0
111CA,"Farms",2008,290.4
113FF,"Forestry, fishing, and related activities",2008,41.8
21,"Mining",2008,402.7
211,"Oil and gas extraction",2008,217.0
212,"Mining, except oil and gas",2008,119.7
213,"Support activities for mining",2008,74.5
22,"Utilities",2008,458.5
23,"Construction",2008,1256.8
311FT,"Food and beverage and tobacco products",2008,761.9
313TT,"Textile mills and textile product mills",2008,57.9
315AL,"Apparel and leather and allied products",2008,21.7
31G,"Manufacturing",2008,5101.1
31ND,"Nondurable goods",2008,2491.6
321,"Wood products",2008,82.9
322,"Paper products",2008,177.2
323,"Printing and related support activities",2008,99.0
324,"Petroleum and coal products",2008,484.0
325,"Chemical products",2008,699.1
326,"Plastics and rubber products",2008,196.3
327,"Nonmetallic mineral products",2008,115.6
331,"Primary metals",2008,225.0
332,"Fabricated metal products",2008,357.0
333,"Machinery",2008,360.1
334,"Computer and electronic products",2008,409.5
335,"Electrical equipment, appliances, and components",2008,127.3
3361MV,"Motor vehicles, bodies and trailers, and parts",2008,426.9
3364OT,"Other transportation equipment",2008,275.0
337,"Furniture and related products",2008,79.2
339,"Miscellaneous manufacturing",2008,159.9
33DG,"Durable goods",2008,2620.5
42,"Wholesale trade",2008,1375.1
441,"Motor vehicle and parts dealers",2008,189.3
445,"Food and beverage stores",2008,198.0
44RT,"Retail trade",2008,1285.7
452,"General merchandise stores",2008,194.5
481,"Air transportation",2008,151.6
482,"Rail transportation",2008,66.1
483,"Water transportation",2008,47.3
484,"Truck transportation",2008,274.7
485,"Transit and ground passenger transportation",2008,47.2
486,"Pipeline transportation",2008,29.1
487OS,"Other transportation and support activities",2008,179.2
48TW,"Transportation and warehousing",2008,868.5
493,"Warehousing and storage",2008,73.5
4A0,"Other retail",2008,704.4
51,"Information",2008,1243.2
511,"Publishing industries, except internet (includes software)",2008,310.0
512,"Motion picture and sound recording industries",2008,132.8
513,"Broadcasting and telecommunications",2008,667.1
514,"Data processing, internet publishing, and other information services",2008,133.3
52,"Finance and insurance",2008,1885.1
521CI,"Federal Reserve banks, credit intermediation, and related activities",2008,644.0
523,"Securities, commodity contracts, and investments",2008,413.3
524,"Insurance carriers and related activities",2008,720.0
525,"Funds, trusts, and other financial vehicles",2008,111.2
53,"Real estate and rental and leasing",2008,2651.3
531,"Real estate",2008,2359.9
532RL,"Rental and leasing services and lessors of intangible assets",2008,291.5
54,"Professional, scientific, and technical services",2008,1624.8
5411,"Legal services",2008,291.7
5412OP,"Miscellaneous professional, scientific, and technical services",2008,1063.5
