Industry,Industry Description,Year,Intermediate Inputs (Billions Chained 2009)
212,"Mining, except oil and gas",2009,38.6
213,"Support activities for mining",2009,12.4
22,"Utilities",2009,138.5
23,"Construction",2009,513.1
311FT,"Food and beverage and tobacco products",2009,531.7
313TT,"Textile mills and textile product mills",2009,31.0
315AL,"Apparel and leather and allied products",2009,7.8
31G,"Manufacturing",2009,2742.6
31ND,"Nondurable goods",2009,1498.2
321,"Wood products",2009,43.8
322,"Paper products",2009,101.5
323,"Printing and related support activities",2009,44.5
324,"Petroleum and coal products",2009,364.7
325,"Chemical products",2009,312.4
326,"Plastics and rubber products",2009,104.6
327,"Nonmetallic mineral products",2009,51.6
331,"Primary metals",2009,125.9
332,"Fabricated metal products",2009,162.5
333,"Machinery",2009,168.9
334,"Computer and electronic products",2009,124.5
335,"Electrical equipment, appliances, and components",2009,51.7
3361MV,"Motor vehicles, bodies and trailers, and parts",2009,271.6
3364OT,"Other transportation equipment",2009,138.2
337,"Furniture and related products",2009,36.7
339,"Miscellaneous manufacturing",2009,69.2
33DG,"Durable goods",2009,1244.4
42,"Wholesale trade",2009,269.2
441,"Motor vehicle and parts dealers",2009,20.2
445,"Food and beverage stores",2009,58.2
44RT,"Retail trade",2009,380.4
452,"General merchandise stores",2009,77.0
481,"Air transportation",2009,72.6
482,"Rail transportation",2009,21.7
483,"Water transportation",2009,32.6
484,"Truck transportation",2009,123.9
485,"Transit and ground passenger transportation",2009,17.9
486,"Pipeline transportation",2009,10.0
487OS,"Other transportation and support activities",2009,70.8
48TW,"Transportation and warehousing",2009,374.6
493,"Warehousing and storage",2009,25.2
4A0,"Other retail",2009,225.0
51,"Information",2009,500.1
511,"Publishing industries, except internet (includes software)",2009,110.8
512,"Motion picture and sound recording industries",2009,35.1
513,"Broadcasting and telecommunications",2009,288.2
514,"Data processing, internet publishing, and other information services",2009,66.0
52,"Finance and insurance",2009,885.1
521CI,"Federal Reserve banks, credit intermediation, and related activities",2009,290.3
523,"Securities, commodity contracts, and investments",2009,216.3
524,"Insurance carriers and related activities",2009,304.8
525,"Funds, trusts, and other financial vehicles",2009,73.6
53,"Real estate and rental and leasing",2009,661.6
531,"Real estate",2009,576.8
532RL,"Rental and leasing services and lessors of intangible assets",2009,84.8
54,"Professional, scientific, and technical services",2009,548.4
5411,"Legal services",2009,62.5
5412OP,"Miscellaneous professional, scientific, and technical services",2009,400.1
5415,"Computer systems design and related services",2009,85.8
55,"Management of companies and enterprises",2009,168.2
56,"Administrative and waste management services",2009,218.6
561,"Administrative and support services",2009,182.0
562,"Waste management and remediation services",2009,36.6
6,"Educational services, health care, and social assistance",2009,761.1
61,"Educational services",2009,96.1
62,"Health care and social assistance",2009,665.1
621,"Ambulatory health care services",2009,279.0
622,"Hospitals",2009,259.2
623,"Nursing and residential care facilities",2009,66.6
624,"Social assistance",2009,60.3
